Index,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
79,"Mazzara, Mike (Canisius)",0.162,0.478,11-Dec,37,6,6,1,0,0,2,7,0.189,6,1,16,0,0.289,1,1,0-0
80,Niko Amory (Marist),0.108,0.379,13-11,37,1,4,1,0,0,5,5,0.135,6,1,16,2,0.244,1,0,0-1
81,"Kohn, Michael (Quinnipiac)",0.222,0.55,9-Dec,36,3,8,1,0,0,3,9,0.25,3,1,15,0,0.3,0,1,
82,Chris Marquart (Saint Peter's),0.139,0.494,13-11,36,4,5,1,0,1,3,9,0.25,3,2,12,0,0.244,0,0,0-0
83,"McCreary, Colin (Monmouth)",0.143,0.411,13-12,35,3,5,0,0,0,4,5,0.143,6,0,8,1,0.268,0,1,0-0
84,Ryan McGee (Siena),0.176,0.469,10-Oct,34,5,6,1,0,0,0,7,0.206,3,1,9,1,0.263,0,0,
85,"Forney, Nick (Iona)",0.242,0.723,10-Oct,33,1,8,2,1,0,3,12,0.364,5,1,8,0,0.359,0,0,
86,Cole Watson (Saint Peter's),0.212,0.592,13-12,33,6,7,1,0,0,0,8,0.242,6,1,13,0,0.35,0,1,0-0
87,"DeRosa, Matt (Quinnipiac)",0.313,0.719,11-9,32,4,10,3,0,0,5,13,0.406,0,0,6,2,0.313,0,1,0-0
88,"Ferrera, Dean (Fairfield)",0.129,0.329,11-Dec,31,2,4,0,0,0,2,4,0.129,2,1,5,0,0.2,1,1,0-0
89,"Ward, Liam (Niagara)",0.207,0.544,10-Dec,29,1,6,1,0,0,1,7,0.241,3,1,10,0,0.303,0,0,0-0
90,"Serrano, Benny (Niagara)",0.172,0.583,13-8,29,3,5,1,0,1,3,9,0.31,3,1,3,0,0.273,0,0,
91,Willie Schwarick (Siena),0.172,0.549,10-Oct,29,3,5,0,0,1,5,8,0.276,3,1,15,0,0.273,0,0,0-1
92,"Palmer, Wyatt (Niagara)",0.179,0.503,9-Nov,28,3,5,0,0,0,2,5,0.179,6,0,3,0,0.324,0,0,0-1
93,Joey Vitiello (Saint Peter's),0.107,0.349,10-Dec,28,5,3,0,0,0,1,3,0.107,3,2,9,0,0.242,0,0,0-0
94,"Polinsky, Brad (Iona)",0.185,0.51,7-Sep,27,1,5,3,0,0,1,8,0.296,1,0,4,1,0.214,0,1,0-0
