Index,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HF,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
83,"McCreary, Colin (Monmouth)",0.17,0.456,18-17,53,5,9,1,0,0,9,10,0.189,7,0,12,1,0.267,0,1,3-Feb
84,"LaChance, Sam (Quinnipiac)",0.17,0.649,17-15,53,13,9,2,0,2,10,17,0.321,9,4,19,1,0.328,1,1,0-0
85,Anthony Abbatine (Saint Peter's),0.094,0.446,21-19,53,10,5,2,0,0,2,7,0.132,16,1,20,0,0.314,0,2,5-Mar
86,"Tuffy, McGwire (Quinnipiac)",0.216,0.658,14-14,51,11,11,0,1,1,5,16,0.314,3,7,13,0,0.344,0,0,0-0
87,"Kemp, Jim (Iona)",0.2,0.551,17-14,50,3,10,4,1,0,2,16,0.32,2,0,17,1,0.231,0,0,0-0
88,Cole Watson (Saint Peter's),0.204,0.561,19-18,49,8,10,2,0,0,0,12,0.245,7,1,19,0,0.316,0,2,0-0
89,"Serrano, Benny (Niagara)",0.188,0.569,18-13,48,6,9,1,0,1,4,13,0.271,4,4,7,0,0.298,1,0,5-Mar
90,Nick Melillo (Siena),0.167,0.439,19-15,48,6,8,2,0,0,3,10,0.208,4,0,18,0,0.231,0,1,1-Jan
91,Niko Amory (Marist),0.083,0.328,18-14,48,3,4,1,0,0,5,5,0.104,8,1,20,2,0.224,1,1,0-1
92,"Mauro, Vincent (Niagara)",0.191,0.517,15-13,47,5,9,2,0,0,4,11,0.234,6,0,22,2,0.283,0,0,0-0
93,"DeRosa, Matt (Quinnipiac)",0.283,0.661,15-13,46,4,13,3,0,0,5,16,0.348,2,0,8,3,0.313,0,1,0-1
94,"Polinsky, Brad (Iona)",0.267,0.669,16-12,45,1,12,4,0,0,2,16,0.356,2,1,7,1,0.313,0,1,0-0
95,"Burton, Jaz (Iona)",0.111,0.401,16-15,45,2,5,2,0,0,0,7,0.156,7,1,29,0,0.245,0,0,0-1
96,Nathan Lincoln (Marist),0.268,0.741,19-13,41,12,11,1,1,0,2,14,0.341,6,3,10,0,0.4,0,1,2-Feb
97,Bryce Mordecki (Siena),0.179,0.555,17-9,39,5,7,1,0,1,2,11,0.282,5,0,15,0,0.273,0,0,0-0
