Index,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
77,"Forney, Nick (Iona)",0.22,0.636,12-Dec,41,2,9,2,1,0,3,13,0.317,5,1,8,0,0.319,0,0,2-1
78,"Mazzara, Mike (Canisius)",0.171,0.53,13-12,41,7,7,1,1,0,2,10,0.244,6,1,16,0,0.286,1,1,0-0
79,Anthony Abbatine (Saint Peter's),0.122,0.504,15-14,41,7,5,2,0,0,2,7,0.171,12,1,16,0,0.333,0,1,4-2
80,"Niles, Josh (Canisius)",0.25,0.598,8-Dec,40,4,10,1,1,0,11,13,0.325,2,0,9,2,0.273,2,0,0-0
81,"Kohn, Michael (Quinnipiac)",0.205,0.526,13-10,39,4,8,1,0,0,3,9,0.231,4,1,17,0,0.295,0,1,1-1
82,Chris Marquart (Saint Peter's),0.154,0.549,14-12,39,5,6,2,0,1,3,11,0.282,4,2,12,0,0.267,0,0,0-0
83,"McCreary, Colin (Monmouth)",0.132,0.382,14-13,38,3,5,0,0,0,4,5,0.132,6,0,8,1,0.25,0,1,0-0
84,"Bowman, Phoenix (Iona)",0.132,0.333,11-Nov,38,1,5,1,0,0,1,6,0.158,2,0,16,0,0.175,0,0,0-0
85,Niko Amory (Marist),0.108,0.379,13-11,37,1,4,1,0,0,5,5,0.135,6,1,16,2,0.244,1,0,0-1
86,"DeRosa, Matt (Quinnipiac)",0.333,0.75,10-Dec,36,4,12,3,0,0,5,15,0.417,0,0,8,2,0.333,0,1,0-0
87,"Serrano, Benny (Niagara)",0.206,0.632,14-9,34,4,7,1,0,1,3,11,0.324,3,2,3,0,0.308,0,0,2-1
88,Cole Watson (Saint Peter's),0.206,0.592,14-13,34,7,7,1,0,0,0,8,0.235,7,1,14,0,0.357,0,1,0-0
89,Willie Schwarick (Siena),0.161,0.515,11-Nov,31,3,5,0,0,1,5,8,0.258,3,1,17,0,0.257,0,0,0-1
90,"Ferrera, Dean (Fairfield)",0.129,0.329,11-Dec,31,2,4,0,0,0,2,4,0.129,2,1,5,0,0.2,1,1,0-0
