Index,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
1,"Maves, Kyle",0.304,0.832,21-21,79,18,24,4,3,0,13,34,0.43,14,1,25,1,0.402,3,2,11-14
2,"Uejima, Julian",0.231,0.606,4-Jul,13,6,3,0,0,0,2,3,0.231,2,1,6,0,0.375,0,0,3-3
3,"O'Connor, Keegan",0.308,0.793,22-21,78,12,24,4,0,1,7,31,0.397,4,8,30,0,0.396,1,0,3-3
4,"Tuffy, McGwire",0.216,0.658,14-14,51,11,11,0,1,1,5,16,0.314,3,7,13,0,0.344,0,0,0-0
5,"Zimbardo, Jared",0.356,0.899,18-16,59,10,21,4,1,0,5,27,0.458,5,4,17,0,0.441,0,2,3-6
7,"Seaburg, Braydon",0,0.333,Mar-00,2,0,0,0,0,0,1,0,0,1,0,2,0,0.333,0,0,1-1
8,"Arici, Gianni",0.269,0.629,5-Oct,26,2,7,1,0,0,4,8,0.308,2,0,7,1,0.321,0,0,0-0
12,"Ostberg, Ian",0.261,0.715,6-Jul,23,2,6,4,0,0,5,10,0.435,1,0,5,0,0.28,1,1,0-1
13,"Swenson, Sean",0.158,0.676,6-Jul,19,4,3,0,0,1,2,6,0.316,3,3,4,0,0.36,0,0,0-1
16,"Thomas, Zak",0.273,0.793,3-Apr,11,3,3,1,0,0,1,4,0.364,2,1,7,0,0.429,0,1,0-0
17,"Melnick, Danny",0.25,0.755,16-16,64,9,16,5,0,2,12,27,0.422,7,1,21,2,0.333,0,0,2-2
22,"LaChance, Sam",0.17,0.649,17-15,53,13,9,2,0,2,10,17,0.321,9,4,19,1,0.328,1,1,0-0
24,"DeRosa, Matt",0.283,0.661,15-13,46,4,13,3,0,0,5,16,0.348,2,0,8,3,0.313,0,1,0-1
26,"Donofrio, Anthony",0.3,0.804,18-17,70,13,21,4,1,1,12,30,0.429,7,2,11,1,0.375,1,0,6-8
33,"Mueller, Sebastian",0.226,0.665,17-16,62,4,14,3,0,2,11,23,0.371,4,2,16,3,0.294,0,1,1-1
38,"Kohn, Michael",0.222,0.7,19-16,63,10,14,1,0,3,10,24,0.381,8,1,24,0,0.319,0,1,1-1
44,"McDermott, Andrew",0.286,0.858,9-Dec,28,8,8,1,0,1,7,12,0.429,6,1,12,0,0.429,0,0,1-1
